ano_eje;sec_ejec;pliego;ejecutora;origen;fuente_financ_agregada;fuente_financ;tipo_recurso;tipo_transaccion;generica;subgenerica;subgenerica_det;especifica;especifica_det;presupuesto;modificacion;pim;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12;total_prog;saldo;porcentaje
2018;301280;;;1;2;09;0;1;3; 2; 9; 1; 4;393540;0;393540;14243.2;12985.7;11799.7;0;0;0;0;0;0;0;18891.2;28169.1;86088.9;307451.1;21.88
2018;301280;;;1;2;09;0;1;3; 2; 9; 1; 5;14388;0;14388;0;0;0;3548.6;2793.8;0;0;0;161.3;0;0;161.3;6665;7723;46.32
2018;301280;;;1;2;09;0;1;3; 2; 9; 1; 6;249111;0;249111;19679.1;20036.8;21665.7;26065.9;22876.7;36069.6;29088.5;23832.2;22061.9;25349.8;21240.1;14004.2;281970.5;-32859.5;113.19
2018;301280;;;1;2;09;0;1;3; 2; 9; 1;99;171;0;171;36.7;0;0;36.7;0;36.7;0;0;36.7;0;36.7;0;183.5;-12.5;107.31
2018;301280;;;1;2;09;0;1;3; 2;10; 1; 5;2311;0;2311;4517.5;3003.4;2656.9;2351.7;5101.2;4361.9;4217.5;4105.4;4661.4;6254.9;8133.6;-1566.7;47798.7;-45487.7;2068.31
2018;301280;;;1;2;09;0;1;3; 2;10; 1;11;442;0;442;113.1;257.7;37.8;19.7;52.9;213.4;52;73.2;54.2;62;75.8;62.9;1074.7;-632.7;243.14
2018;301280;;;1;2;09;0;1;3; 2;10; 1;99;60895;0;60895;0;0;0;0;4693.38;4251.78;3294.46;1918.91;1756.56;2719.83;1436.33;1480.32;21551.57;39343.43;35.39
2018;301280;;;1;2;09;0;1;3; 3; 1; 1; 2;58354;0;58354;852;1260;792;876;744;1092;852;420;684;684;540;372;9168;49186;15.71
2018;301280;;;1;2;09;0;1;3; 3; 3; 1; 2;111243;0;111243;14130;5510;8850;8550;8350;7950;9510;8060;8450;8550;5750;13180;106840;4403;96.04
2018;301280;;;1;2;09;0;1;3; 3; 3; 1;99;360320;0;360320;8110;24485.5;926;7566;13733.9;10946.7;9721.1;12257.6;10483.3;11353.4;16028.9;22349.8;147962.2;212357.8;41.06
2018;301280;;;1;2;09;0;1;3; 3; 3; 2;99;1080000;0;1080000;149690;102310;92540;100290;108700;80170;87670;101771.14;86280;95965;95930;79158;1180474.14;-100474.14;109.3
2018;301280;;;1;2;09;0;1;3; 3; 4; 1; 1;18600;0;18600;1966;1592;1104.5;858.5;1195;1172.5;1675.5;969;883;1575;675;1098;14764;3836;79.38
2018;301280;;;1;2;09;0;1;3; 3; 4; 2; 1;46180;0;46180;442.3;3102.7;722.6;1222;2936.2;10205;17888.5;11892.4;14159;871.1;7608.6;3155.1;74205.5;-28025.5;160.69
2018;301280;;;1;2;09;0;1;3; 3; 5; 1; 1;615135;0;615135;73145.8;67244.9;84899.46;90063.16;83491.3;66092.32;102004.03;88015.88;94737.26;48245.46;43673.94;50819.76;892433.27;-277298.27;145.08
2018;301280;;;1;2;09;0;1;3; 3; 9; 2; 4;12148;0;12148;993;1856.2;1219.7;2154.5;1494.21;297.8;1408.3;1603.6;759;1563.2;2299.7;817.5;16466.71;-4318.71;135.55
2018;301280;;;1;2;09;0;1;3; 3; 9; 2; 7;414658;0;414658;32169.05;35627.55;34247.55;4422.15;0;192.4;0;0;0;0;12268.5;13370.9;132298.1;282359.9;31.91
2018;301280;;;1;2;09;0;1;3; 3; 9; 2; 9;2604314;0;2604314;389662.78;609245.83;362092.61;329429.93;390939.38;335391.79;408546.27;296671.81;260689.62;282071.76;271046.29;246629.88;4182417.95;-1578103.95;160.6
2018;301280;;;1;2;09;0;1;3; 3; 9; 2;15;32635;0;32635;52604.1;3715.7;6489.8;3445.6;55514.5;25212.1;9450.9;65577.9;17420;30139.5;6733.3;17692.6;293996;-261361;900.86
2018;301280;;;1;2;09;0;1;3; 3; 9; 2;23;19059909;0;19059909;810179.93;6883913.97;1332303;920062.47;1849780.88;971577.21;641787.47;1815492.97;709731.59;705915.34;2002384.63;807981.45;19451110.91;-391201.91;102.05
2018;301280;;;1;2;09;0;1;3; 3; 9; 2;24;35017287;0;35017287;1694245.06;10831339.21;2804245.89;1177847.39;3152641.5;1897322.05;1437434.74;3200424.68;2567086.74;1624961.24;3458449.37;1183506.85;35029504.72;-12217.72;100.03
2018;301280;;;1;2;09;0;1;3; 3; 9; 2;27;16346206;0;16346206;703160.79;5869451.95;929680.43;623590.82;1974146.93;702333.38;532894.88;1868404.9;593487.67;619117.42;2087876.51;556830.5;17060976.18;-714770.18;104.37
2018;301280;;;1;2;09;0;1;5; 1; 1; 1; 1;0;908723;908723;53830.61;46701.88;97971.81;133675.32;162755.9;107279.68;143320.36;85878.29;77308.67;61470.5;23157.04;161596.35;1154946.41;-246223.41;127.1
2018;301280;;;1;2;09;0;1;5; 1; 2; 2;99;1194047;0;1194047;57542.44;75844.15;64240.92;60986.89;64519.28;482110.51;64356.77;85925.41;66573.82;67034.99;62399.17;79357.72;1230892.07;-36845.07;103.09
2018;301280;;;1;2;09;0;1;5; 2; 1; 1; 1;5840590;0;5840590;432782.14;566917.57;634088.18;852808.87;666479.6;456954.55;501089.32;540239.41;468056.75;539247.1;602048.62;446381.89;6707094;-866504;114.84
2018;301280;;;1;2;09;0;1;5; 2; 1; 5; 1;568481;0;568481;23884.25;0;0;21288.06;51029.17;41049;0;25893.3;58868.15;0;16327.38;0;238339.31;330141.69;41.93
2018;301280;;;1;2;09;0;1;5; 2; 1; 6;99;608006;0;608006;0;0;0;0;0;0;0;0;0;0;0;0;0;608006;0
2018;301280;;;1;2;09;0;1;5; 2; 2; 1; 3;0;0;0;0;0;0;0;0;0;0;0;0;22848;0;0;22848;-22848;0
2018;301280;;;1;2;09;0;1;5; 2; 2; 1;99;0;0;0;0;0;6225;9560.15;55391.98;2983.33;23716.06;59930.19;118680.44;26047.97;8245.94;29042.63;339823.69;-339823.69;0
2018;301280;;;1;2;09;0;1;5; 5; 1; 1;99;0;0;0;51210;0;0;0;0;156070;0;0;0;58677.5;0;108379.42;374336.92;-374336.92;0
2018;301280;;;1;2;09;0;1;5; 5; 1; 4; 1;0;0;0;0;27013.59;33841.6;0;0;0;0;8559.11;59224;0;0;-27022.23;101616.07;-101616.07;0
2018;301280;;;1;2;09;0;1;5; 5; 1; 4; 2;0;0;0;23359;30393.7;27619.54;34758.57;34715;22081.15;28523.17;42239.48;32523.44;70911.92;55890.1;45139.32;448154.39;-448154.39;0
2018;301280;;;1;2;09;0;1;5; 5; 1; 4;99;2359492;0;2359492;134397.65;208865.47;35975.01;31585.99;39511.96;42199.01;29375.1;151544.53;202508.2;182575.17;170709.07;109314.87;1338562.03;1020929.97;56.73
2018;301280;;;1;2;09;0;1;9; 1; 1; 1; 1;2832864;12005473;14838337;13777871.89;-57937.79;-2723.75;972931.15;-2999341.04;-32190.61;-1105.91;-33278.77;-24940.13;-21260.64;-24973.3;-22527.25;11530523.85;3307813.15;77.71
2018;301280;;;1;3;19;0;1;8; 2; 2; 1; 1;0;39151;39151;0;0;0;0;0;39151;0;0;0;0;0;0;39151;0;100
2018;301280;;;1;4;13;0;1;4; 1; 2; 2;99;0;3310;3310;0;0;0;0;0;0;0;0;3310;0;0;0;3310;0;100
2018;301280;;;1;4;13;0;1;9; 1; 1; 1; 1;0;10238;10238;10238;0;0;0;0;0;0;0;0;0;0;0;10238;0;100
2018;301280;;;1;5;07;0;1;4; 1; 4; 5; 1;1760665;0;1760665;178109.52;166555.98;141761.17;138684.1;153102.89;174642.25;151816.91;156590.75;153343.07;159277.96;165968.47;157515.18;1897368.25;-136703.25;107.76
2018;301280;;;1;5;07;0;1;5; 1; 1; 1; 1;0;20642;20642;5559.29;3661;3693.41;3287.41;2153.74;2287.27;0;0;0;0;10482.11;2164.14;33288.37;-12646.37;161.27
2018;301280;;;1;5;07;0;1;9; 1; 1; 1; 1;0;2073937;2073937;2073936.64;0;0;0;0;0;0;0;0;0;0;0;2073936.64;0.36;100
2018;301280;;;1;5;08;0;1;1; 2; 1; 1; 1;83689724;2000000;85689724;3830389.11;36005590.8;5422253.75;2600389.58;8312620.1;3600681.66;1838520.4;8270814.46;2728208.17;2257013.4;7191227.43;2724237.65;84781946.51;907777.49;98.94
